Rank,Name,Length,Genre(s),Rating
1.,The Filthy Frank Show,12 min,"Comedy, Fantasy, Music",9.5
2.,Yeh Meri Family,30 min,"Comedy, Drama, Family",9.2
3.,Flames,20 min,"Comedy, Drama, Romance",9.2
4.,TVF Pitchers,40 min,"Comedy, Drama",9.2
5.,Rick and Morty,23 min,"Animation, Adventure, Comedy",9.2
6.,Pew News,15 min,"Comedy, News",9.1
7.,Kota Factory,45 min,"Comedy, Drama",9.1
8.,Leyla and Mecnun,80 min,"Adventure, Comedy, Drama",9.1
9.,Fullmetal Alchemist: Brotherhood,24 min,"Animation, Action, Adventure",9.1
10.,College Romance,30 min,"Comedy, Drama, Romance",9.0
11.,Content Cop,20 min,"Documentary, Comedy, Crime",9.0
12.,Vratice se rode,55 min,"Comedy, Crime, Drama",9.0
13.,Tash ma Tash,25 min,"Comedy, Drama",8.9
14.,Last Week Tonight with John Oliver,30 min,"Comedy, News, Talk-Show",8.9
15.,Hunter x Hunter,24 min,"Animation, Action, Adventure",8.9
16.,Gravity Falls,23 min,"Animation, Adventure, Comedy",8.9
17.,Sarabhai vs Sarabhai,30 min,Comedy,8.9
18.,The Office,22 min,Comedy,8.9
19.,Still Game,30 min,Comedy,8.9
20.,Friends,22 min,"Comedy, Romance",8.9
21.,Only Fools and Horses....,95 min,Comedy,8.9
23.,Cobra Kai,30 min,"Action, Comedy, Drama",8.8
24.,One Punch Man,24 min,"Animation, Action, Comedy",8.8
25.,Nathan for You,30 min,"Documentary, Comedy",8.8
26.,Steins;Gate,24 min,"Animation, Comedy, Drama",8.8
27.,Panchayat,35 min,"Comedy, Drama",8.8
28.,Crash Landing on You,70 min,"Comedy, Romance",8.8
29.,It's Always Sunny in Philadelphia,22 min,Comedy,8.8
30.,Chappelle's Show,22 min,"Comedy, Music",8.8
31.,Freaks and Geeks,44 min,"Comedy, Drama",8.8
32.,Seinfeld,22 min,Comedy,8.8
33.,Blackadder Goes Forth,175 min,"Comedy, War",8.8
34.,Monty Python's Flying Circus,30 min,Comedy,8.8
35.,SideHero,30 min,Comedy,8.7
36.,The Marvelous Mrs. Maisel,57 min,"Comedy, Drama",8.7
37.,The Grand Tour,60 min,"Comedy, Talk-Show",8.7
38.,Fleabag,27 min,"Comedy, Drama",8.7
39.,This Is Us,45 min,"Comedy, Drama, Romance",8.7
40.,Letterkenny,30 min,Comedy,8.7
41.,Haikyuu!!,24 min,"Animation, Comedy, Drama",8.7
42.,BoJack Horseman,25 min,"Animation, Comedy, Drama",8.7
43.,Top Gear,60 min,"Adventure, Comedy, Reality-TV",8.7
44.,The Boys,60 min,"Action, Comedy, Crime",8.7
45.,Hostel Daze,159 min,"Comedy, Drama",8.7
46.,The Thick of It,29 min,Comedy,8.7
47.,One Piece: Wan pîsu,24 min,"Animation, Action, Adventure",8.7
48.,Arrested Development,22 min,Comedy,8.7
49.,Curb Your Enthusiasm,28 min,Comedy,8.7
50.,Six Feet Under,55 min,"Comedy, Drama",8.7
